address
300 W. Adams St.
333 N. Michigan Ave.
35 E. Wacker Dr.
S. Lake Shore Dr. and E. 63rd St.
6901 S. Oglesby Ave.
860-880 N. Lake Shore Dr.
Lincoln Park at North Dearborn Parkway
9326 S. Pleasant Ave.
At the north end of Lincoln Park Zoo at Fullerton Parkway
4550 N. Hermitage Ave.
701 N. Michigan Ave.
3800-block of North Alta Vista Terrace (1050 west)
320-330 E. Cermak Rd.
850 E. 58th St.
10410 and 10541 S. Hoyne Ave.
400-blocks of Arlington and Roslyn between Clark and Lakeview
Predominantly 500- and 600-blocks of W. Arlington Pl.500- and 600-blocks of W. Deming Pl.2400-block of N. Geneva Terr. and portions of the 2400-block of N. Orchard St.
Predominately Armitage Avenue between Halsted Street and Racine Avenue and Halsted Street between Armitage Avenue and Webster Street
319 W. Erie Street
1200-1600 blocks of Astor Street (and cross streets)
430 S. Michigan Ave.
7415 N. Sheridan Rd.
1244 W. Carmen Ave.
5810 W. Midway Park
1001 W. Belmont Avenue
91st 95th 99th 107th 111th and 115th streets along the Metra-Rock Island railroad line
2433-43 N. Lincoln Ave.
2100-block of N. Bissell St. (between W. Webster and W. Dickens Aves.)
636 S. Michigan Ave.
4904 South Lake Park Avenue
2800 N. Pine Grove Ave.
223 W. Jackson Blvd.
1039-1062 W. Bryn Mawr Ave.
2225-2245 N. Burling Street
100 W. Chicago Ave.
25 E. Erie St.
9117 S. Commercial Avenue
9801 South Avenue G
6657-6659 S. Harvard St.
230 N. Michigan Ave.
4646 N. Hermitage Ave.
1 S. State St.
Cermak Road predominantly between Grove and Jefferson Sts.
63 E. Adams St.
3926 N. Keeler Ave.
1365 N. Astor St.
19 buildings clustered near the 75th and 79th Street intersections with Cottage Grove Ave.
2120 S. Michigan Ave.
East of Ashland Ave. North of Archer Ave. (South Fork of the South Branch of the Chicago River)
33rd St. East of Kedzie Ave. (Slip of Sanitary and Ship Canal)
211 N. Clinton St.
South of Kinzie St. East of Canal St. (North Branch of the Chicago River)
North of 126th St. East of Torrence Ave.
3647-55 S. State St.
141 W. Jackson Blvd.
7 W. Madison St.
815 W. 63rd Street
3435 S. Indiana Ave.
South End of the North Breakwater North Side of the Chicago Harbor Entrance
5120 S. King Dr.
78 E. Washington St.
175 N. State St.
33 W. Kinzie St.
North Cherry St. immediately South of North Ave. (North Branch of Chicago River)
121 N. LaSalle St./118 N. Clark St.
20 N. Wacker Dr.
Bounded by Lake Shore Balbo Columbus and Jackson drives
1855 S. Indiana Ave.
5940 N. Sheridan Rd.
2117-2139 N. Milwaukee Ave. / 2117-2139 N. Rockwell Ave.
208 S. LaSalle St.
1440 W. Cortland St.
801 N. Clark St.
54 W. Hubbard St.
3360 S. State St.
50 W. Washington St.
47 W. Polk St.
36 W. Randolph St.
509 W. Wrightwood Ave.
503 W. Wrightwood Ave.
630 S. Wabash Ave.
3252 W. Victoria St.
4605 N. Hermitage Ave.
92nd Street at South Chicago and Exchange Avenues
3558 S. Artesian Ave.
140 E. Walton 179-229 E. Lake Shore Dr. and 999 N. Lake Shore Dr.
Four sections primarily situated on N. Winchester Ave. N. Wolcott Ave. N. Honore St. and N. Hermitage Ave. between W. Chicago Ave. and W. Division St.
blank
4359 S. Michigan Ave.
3533 S. Giles Ave.
4726 S. Martin Luther King Jr. Dr.
4122 S. Ellis Ave.
2750 N. Lakeview Avenue
1401 S. Michigan Avenue
8120 S. Ashland Ave.
1244 N. Wells St.
1625 N. Damen Ave.
228 W. Illinois St.
4600 S. Cottage Grove Ave.
324 S. Desplaines St.
5714 N. Ridge Ave.
5349 S. Wabash Ave.
3000 W. 42nd St.
1052 W. Waveland Ave.
6204 S. Green St.
2414 W. Cuyler Ave.
1333-45 W. Argyle St.
5804 W. Midway Park
664 North Michigan Avenue
135 S. LaSalle St.
410 S. Michigan Ave.
60 N. Ashland Ave.
4315 S. Wabash Ave.
343 S. Dearborn St.
1209 N. State Pkwy.
1942 1950 1952 1958 and 2102 S. Avers Ave.
3963 W. Belmont Ave.
632 N. Dearborn St.
12147 S. Harvard Ave.
2100-2144 N. Fremont St. (even addresses)
1425 W. Fullerton Ave.
18 24 and 30 S. Michigan Ave.
319 E. Garfield Blvd.
100 N. Central Park Ave.
5917 and 5921 N. Magnolia Ave.
4801 S. Michigan Ave.
100-114 West Germania Place / 1538-1542 North Clark Street
Graceland Cemetery Clark Street and Irving Park Road
Generally the 3700 and 3800-block of S. Giles Ave. and the 3800-block of S. Calumet Ave.
1800 S. Prairie Ave.
1613-35 W. Chicago Ave.
5200-5244 S. Greenwood Ave. (even addresses)
3806 S. Michigan Ave.
1304 W. Washington Blvd.
7428 S. Evans Ave.
2110 S. Prairie Ave.
180-190 N. Dearborn St.
18 22 28 S. Wabash Ave.
524-595 W. Hawthorne Pl.
5453 N. Forest Glen Ave.
Wacker Drive at Wabash Avenue
5132 S. Woodlawn Ave.
1710 N. Crilly Court
4731 North Knox Avenue
29 E. Madison Street
Michigan Avenue between 11th and Randolph Streets
5704 W. Ohio St.
1027 W. Madison St.
1121 N. Leavitt St.
1200-08 N. Ashland Ave. / 1600-12 W. Division St.
40-52 E. Chicago Ave.
1301 N. Humboldt Blvd.
3015 W. Division St.
1525 E. 53rd St.
330 N. Wabash Ave.
3624 S. Martin Luther King Jr. Dr.
11118 S. Artesian Ave.
North of the Stevenson Expressway East of Kedzie Ave. (Chicago Sanitary and Ship Canal)
Avenue G near 103rd St. (located on the Illinois-Indiana State Boundary Line)
640 W. Irving Park Rd. and 4030 N. Marine Dr.
2500 W. Lunt Ave.
30 W. Monroe St.
1500-blocks of West Jackson and West Adams between Laflin and Ashland
7053 N. Ridge Blvd.
2703 S. Shields Ave.
800 S. Halsted
15-17 S. Wabash Ave.
Wabash Avenue predominently between E. Washington St. and E. Monroe St.
3500 W. Douglas Blvd.
3854 N. Kostner Ave.
1100 E. Hyde Park Blvd.
2312-14 N. Lincoln Ave.
5551 S. University Ave.
2214 E. 69th St.
2944 S. Michigan Ave.
Bounded by E. 47th East 51st S. Blackstone and S. Drexel
4600-08 S. Greenwood Av.
3600 W. Fullerton Ave.
3234 W. Washington Blvd.
4611 N. Lincoln Ave.
East of Chicago Skyway North of 98th St. (Calumet River)
227-235 W. Lake St. and 173-191 N. Franklin St.
5200 W. Chicago Ave.
500 N. LaSalle St.
120 E. Bellevue Pl.
403 S. State St.
1928-36 N. Lincoln Ave.
6130 S. Wolcott Ave.
2620 W. Washington Blvd.
Lincoln Park Zoo
Generally Logan Kedzie Palmer and Humboldt Boulevards (north of Cortland)
360 N. Michigan Ave.
9800-11000 blocks of S. Longwood; 10200-10700 blocks of S. Seeley
6016 S. Ingleside Ave.
6140 S. Rhodes Ave.
1104 S. Wabash Ave.
4 W. Burton Pl.
6453 N. Sheridan Road Loyola University campus
3300 S. Federal St. (Main Building); 100 W. 33rd St. (Machinery Hall)
22 W. Monroe St.
431 S. Dearborn St.
5749 W. Race Ave.
