latlong
"[41.8797182, -87.6357476]"
"[41.8876238, -87.6242032]"
"[41.8865228, -87.62678489999999]"
"[41.8033479, -87.5816686]"
"[41.7695812, -87.5679334]"
"[41.8990906, -87.61895210000002]"
"[41.8991076, -87.62982869999999]"
"[41.7240636, -87.670076]"
"[41.921102, -87.6334742]"
"[41.9649844, -87.6730235]"
"[41.8951734, -87.62370469999999]"
"[41.951839, -87.65663]"
"[41.8530149, -87.61945419999999]"
"[41.7896858, -87.6040462]"
"[41.701585, -87.6738896]"
"[38.8799697, -77.1067698]"
"[41.9254978, -87.6463291]"
"[41.9171756, -87.72776619999999]"
"[41.8937408, -87.63655779999999]"
"[41.9077978, -87.6275555]"
"[41.87599580000001, -87.62485509999999]"
"[42.0165836, -87.6648624]"
"[41.9747944, -87.6616772]"
"[41.8892809, -87.7705295]"
"[41.9397463, -87.65444959999999]"
"[41.6927794, -87.61048509999999]"
"[41.9263426, -87.6497878]"
"[41.920069, -87.652478]"
"[41.8733507, -87.6244633]"
"[41.8058373, -87.59034059999999]"
"[41.9332022, -87.6415895]"
"[41.8779775, -87.63454519999999]"
"[41.9835423, -87.6570026]"
"[41.9226075, -87.6472563]"
"[41.62998839999999, -87.47223749999999]"
"[41.8939354, -87.6270832]"
"[41.7294934, -87.5508167]"
"[41.7178298, -87.5306437]"
"[41.7729836, -87.63286430000001]"
"[41.8865731, -87.62490199999999]"
"[41.96658559999999, -87.67285299999999]"
"[41.8817916, -87.62752479999999]"
"[41.8502901, -87.8044884]"
"[41.8793684, -87.6254869]"
"[41.9526032, -87.7327869]"
"[41.9076442, -87.62752429999999]"
"[41.7587304, -87.5895713]"
"[41.8535218, -87.62406089999999]"
"[41.8346732, -87.6612157]"
"[41.5996343, -87.6946566]"
"[41.8861528, -87.6411192]"
"[41.88848309999999, -87.63918939999999]"
"[41.6666624, -87.54954719999999]"
"[41.8279861, -87.62616179999999]"
"[41.8774454, -87.63185469999999]"
"[41.8818687, -87.628185]"
"[41.7795312, -87.64552139999999]"
"[41.8317395, -87.6216584]"
"[41.95731, -87.7566513]"
"[41.8013607, -87.61655239999999]"
"[41.8841623, -87.6249624]"
"[41.8853914, -87.627505]"
"[41.8890178, -87.6293182]"
"[41.902035, -87.6542534]"
"[41.8838677, -87.6319365]"
"[41.882608, -87.6372612]"
"[41.8732808, -87.621121]"
"[41.8567781, -87.62186299999999]"
"[41.9903342, -87.6558053]"
"[41.9198676, -87.6920147]"
"[41.8791853, -87.63243150000001]"
"[41.9171218, -87.66485209999999]"
"[41.8968209, -87.6308462]"
"[41.8902347, -87.6299737]"
"[41.8332815, -87.6272979]"
"[41.8840546, -87.63017710000001]"
"[41.8717634, -87.6290483]"
"[41.8847041, -87.6292466]"
"[41.9301299, -87.6416757]"
"[41.9303397, -87.6415036]"
"[41.87369899999999, -87.62646699999999]"
"[41.985928, -87.7112001]"
"[41.965431, -87.6721791]"
"[41.7281378, -87.5507907]"
"[41.8285987, -87.68650070000001]"
"[41.9006258, -87.6205011]"
"[41.9032126, -87.6760461]"
"[33.6486359, -86.68182759999999]"
"[41.8150013, -87.62248960000001]"
"[41.8298451, -87.6190142]"
"[41.8086022, -87.617128]"
"[41.8192573, -87.6026471]"
"[41.9322863, -87.6399984]"
"[41.8639369, -87.62376499999999]"
"[41.745991, -87.663461]"
"[41.9051657, -87.6348604]"
"[41.91125900000001, -87.67728699999999]"
"[41.890981, -87.6353144]"
"[41.8111899, -87.60689289999999]"
"[41.8772226, -87.6442087]"
"[41.985752, -87.66399299999999]"
"[41.7966755, -87.6237441]"
"[41.54326, -87.37405559999999]"
"[41.94930859999999, -87.65657379999999]"
"[41.7811765, -87.64641499999999]"
"[41.9552392, -87.68919319999999]"
